,Time,BE_line,Tag_Turn_MOD,BME_Turn_MOD,N_Turn_MOD,STT_Turn_MOD,ETT_Turn_MOD,Duration_Turn_MOD,Tag_Turn_P1,BME_Turn_P1,N_Turn_P1,STT_Turn_P1,ETT_Turn_P1,Duration_Turn_P1,Tag_Turn_P2,BME_Turn_P2,N_Turn_P2,STT_Turn_P2,ETT_Turn_P2,Duration_Turn_P2,Conv_MOD_P1_P2,Unnamed: 21
0,0.0,B, [laugh] ,B_W,0.0,0.0,1.375,1.375,,0,,,,,,0,,,,,S02_M001_P007_P006,
1,1.375,E, [laugh] ,E_W,0.0,0.0,1.375,1.375,,0,,,,,,0,,,,,S02_M001_P007_P006,
2,1.375,B,Ok so thanks for coming today. [eh] we're going to play a quiz.,B_W,0.0,1.375,6.441,5.066,,0,,,,,,0,,,,,S02_M001_P007_P006,
3,6.441,E,Ok so thanks for coming today. [eh] we're going to play a quiz.,E_W,0.0,1.375,6.441,5.066,,0,,,,,,0,,,,,S02_M001_P007_P006,
4,6.441,B,I would n,B_W,0.0,6.441,7.057,0.616,,0,,,,,Ok.,B_W,0.0,6.441,7.057,0.616,S02_M001_P007_P006,
5,7.057,E,I would n,E_W,0.0,6.441,7.057,0.616,,0,,,,,Ok.,E_W,0.0,6.441,7.057,0.616,S02_M001_P007_P006,
6,7.057,B,I'm going to ask you three questions,B_W,0.0,7.057,8.812,1.755,,0,,,,,,0,,,,,S02_M001_P007_P006,
7,8.812,E,I'm going to ask you three questions,E_W,0.0,7.057,8.812,1.755,,0,,,,,,0,,,,,S02_M001_P007_P006,
8,8.812,B,and I would li,B_W,0.0,8.812,9.38,0.568,mhmm,B_W,0.0,8.812,9.38,0.568,,0,,,,,S02_M001_P007_P006,
9,9.38,E,and I would li,E_W,0.0,8.812,9.38,0.568,mhmm,E_W,0.0,8.812,9.38,0.568,,0,,,,,S02_M001_P007_P006,
10,9.38,B,ke you to to that were posed to group of one hundred pend one hundred people,B_W,0.0,9.38,13.459,4.079,,0,,,,,,0,,,,,S02_M001_P007_P006,
11,13.459,E,ke you to to that were posed to group of one hundred pend one hundred people,E_W,0.0,9.38,13.459,4.079,,0,,,,,,0,,,,,S02_M001_P007_P006,
12,13.459,B,and then I would like you to guess the three most popular answers to these questions.,B_W,0.0,13.459,18.149,4.69,,0,,,,,,0,,,,,S02_M001_P007_P006,
13,18.149,E,and then I would like you to guess the three most popular answers to these questions.,E_W,0.0,13.459,18.149,4.69,,0,,,,,,0,,,,,S02_M001_P007_P006,
14,18.149,B, [i] ,B_W,0.0,18.149,18.62,0.471,Ok,B_W,0.0,18.149,18.62,0.471,,0,,,,,S02_M001_P007_P006,
15,18.62,E, [i] ,E_W,0.0,18.149,18.62,0.471,Ok,E_W,0.0,18.149,18.62,0.471,,0,,,,,S02_M001_P007_P006,
16,18.62,B,and then we'll ask you to identify the ranking,B_W,0.0,18.62,21.375,2.755,,0,,,,,,0,,,,,S02_M001_P007_P006,
936,0.0,B,Ok hello we are going to play a quiz.,B_M,0.0,0.0,3.218,3.218,,0,,,,,,0,,,,,S03_M001_P008_P009,
937,1.23,B,Ok hello we are going to play a quiz.,M,1.0,0.0,3.218,3.218,hi,B_M,0.0,1.23,1.592,0.362,,0,,,,,S03_M001_P008_P009,
938,1.267,B,Ok hello we are going to play a quiz.,M,2.0,0.0,3.218,3.218,hi,M,1.0,1.23,1.592,0.362,hello,B_M,0.0,1.267,1.781,0.514,S03_M001_P008_P009,
939,1.592,E,Ok hello we are going to play a quiz.,M,3.0,0.0,3.218,3.218,hi,E_M,1.0,1.23,1.592,0.362,hello,M,1.0,1.267,1.781,0.514,S03_M001_P008_P009,
940,1.781,E,Ok hello we are going to play a quiz.,M,4.0,0.0,3.218,3.218,,0,,,,,hello,E_M,1.0,1.267,1.781,0.514,S03_M001_P008_P009,
941,3.04,B,Ok hello we are going to play a quiz.,M,5.0,0.0,3.218,3.218,,0,,,,,ok,B_M,0.0,3.04,3.915,0.875,S03_M001_P008_P009,
942,3.218,E,Ok hello we are going to play a quiz.,E_M,5.0,0.0,3.218,3.218,,0,,,,,ok,M,1.0,3.04,3.915,0.875,S03_M001_P008_P009,
